date,margin_loan,short_sale,securities_backed_loan,credit_total,investor_deposit,source
2024-01-15,17.8,,,,,seed
2024-03-28,19.48,,,,,seed
2024-06-13,20.12,,,,,seed
2024-07-19,20.1,,,,,seed
2024-12-06,15.75,,,,,seed
2024-12-12,15.16,,,,,seed
2025-03-05,18.29,,,,,seed
2025-04-01,17.38,,,,,seed
2025-05-31,18.27,,,,,seed
2025-06-17,19.39,,,,,seed
2025-06-23,20.1,,,,,seed
2025-09-30,23.5,,,,,seed
2025-10-31,25.53,,,,,seed
2025-11-05,25.8,,,,,seed
2025-11-07,26.2,,,,,seed
2025-11-14,26.43,,,,,seed
2025-12-31,27.29,,,,,seed
2026-01-29,30.09,,,,,seed
2026-02-26,32.37,,,,,seed
2026-03-03,32.8,,,,,seed
2026-04-15,33.36,,,,,seed
2026-04-28,35.69,,,,,seed
2026-05-02,36.07,,,,,seed
2026-05-15,36.57,,,,,seed
2026-05-26,36.25,,,,,seed
2026-05-29,38.02,,,,,seed
2026-06-04,37.7,,,,,seed
2026-06-19,38.48,,,,,seed
2026-06-24,38.63,,,,,seed
2026-07-02,37.7,,,,,seed
2026-07-06,37.660002,0.034927,25.285096,62.980024,112.208237,kofia_api
2026-07-07,37.065396,0.032838,24.357516,61.45575,112.325979,kofia_api
2026-07-08,37.199867,0.030962,24.70507,61.9359,110.874403,kofia_api
2026-07-09,36.633641,0.027897,25.223393,61.884931,107.127865,kofia_api
2026-07-10,35.573983,0.02546,25.237585,60.837027,105.575754,kofia_api
2026-07-13,34.788619,0.0242,24.872258,59.685077,109.01157,kofia_api
2026-07-14,34.707755,0.02858,24.804274,59.540609,111.28248,kofia_api
2026-07-15,34.370184,0.026953,25.87791,60.275047,109.866972,kofia_api
2026-07-16,33.362442,0.024274,25.195635,58.582352,108.081874,kofia_api
2026-07-20,33.332642,0.030774,24.782509,58.145926,112.519003,kofia_api
2026-07-21,33.558388,0.025257,24.912476,58.496121,106.69298,kofia_api
2026-07-22,33.042098,0.020774,25.067386,58.130259,103.876545,kofia_api
2026-07-23,32.749219,0.025929,24.838296,57.613444,104.297489,kofia_api
2026-07-24,32.67167,0.023451,24.709692,57.404813,105.63707,kofia_api
2026-07-27,32.741063,0.030074,24.690322,57.461459,109.167491,kofia_api
2026-07-28,33.19404,0.024959,25.159474,58.378473,107.199449,kofia_api
2026-07-29,32.995046,0.024791,25.515482,58.535319,109.592595,kofia_api
2026-07-30,32.153119,0.019393,25.819358,57.99187,104.658382,kofia_api
2026-07-31,28.934997,0.014438,25.449338,54.398774,104.135408,kofia_api
2026-08-03,27.443854,0.01704,24.871213,52.332107,102.825553,kofia_api
2026-08-04,27.403828,0.026324,24.137875,51.568027,110.407061,kofia_api
2026-08-05,28.417966,0.019019,24.604608,53.041593,103.212504,kofia_api
2026-08-06,28.79401,0.024744,24.371411,53.190165,104.071197,kofia_api
2026-08-07,29.230368,0.02778,24.415045,53.673194,104.206412,kofia_api
2026-08-10,30.023768,0.025621,24.672334,54.721722,100.718025,kofia_api
2026-08-11,30.038722,0.02631,24.657728,54.72276,97.928935,kofia_api
2026-08-12,30.418753,0.027295,24.715601,55.161649,99.97646,kofia_api
2026-08-13,30.926266,0.027985,24.862321,55.816572,100.068383,kofia_api
2026-08-14,30.86751,0.031067,24.91814,55.816717,100.710332,kofia_api
2026-08-18,31.104533,0.033446,25.194954,56.332933,104.755058,kofia_api
2026-08-19,31.312008,0.033918,25.126144,56.47207,106.575016,kofia_api
2026-08-20,31.893895,0.031482,25.378522,57.303899,105.354289,kofia_api
2026-08-21,32.416288,0.027147,25.576085,58.01952,100.745646,kofia_api
2026-08-24,32.628246,0.030955,25.303427,57.962628,103.013654,kofia_api
2026-08-25,32.848307,0.029319,25.646931,58.524557,102.53415,kofia_api
2026-08-26,33.102367,0.032977,25.763003,58.898347,98.917653,kofia_api
2026-08-27,33.329014,0.028998,25.614806,58.972819,96.709071,kofia_api
2026-08-28,33.337971,0.031019,25.408681,58.777671,98.704872,kofia_api
2026-08-31,33.252658,0.03091,25.503345,58.786914,99.704432,kofia_api
2026-09-01,33.430161,0.031776,25.484072,58.946008,98.16909,kofia_api
2026-09-02,33.440441,0.031273,25.291512,58.763227,102.267236,kofia_api
